ubigeo;distrito;pob_2025;hombres_2025;mujeres_2025;urbana_2025;rural_2025;pct_rural_2025;ipress_2026;ipress_I3_o_mas_2026;medicos_2026;enfermeras_2026;obstetras_2026;camas_2026;ambulancias_2026;medicos_x10k_2026;superficie_km2;altitud_capital_msnm;ccpp_2017;pob_2017;rural_2017;var_pob_2017_2025_pct;densidad_2025;ccpp_x100km2;presupuesto_pim_2021;presupuesto_ejec_2021;proyectos_pim_2021;proyectos_ejec_2021;pct_ejec_proyectos_2021;proyectos_sin_ejecutar_2021;pim_per_capita_2021;viviendas_2017;pct_agua_red_2017;pct_sin_agua_red_2017;pct_desague_red_2017;pct_sin_desague_red_2017;pct_sin_luz_2017;pct_3servicios_2017;hogares_2017;pct_internet_hogar_2017;pct_lena_2017;dci_pct_2019;dci_pct_2021;dci_casos_2021;dci_evaluados_2021;anemia_6a35m_pct_2021;anemia_6a35m_casos_2021;anemia_menores5_pct_2021;locales_esc_buen_estado_pct_2018;locales_esc_3serv_pct_2021;internet_primaria_pct_2020;ece4_lectura_previo_inicio_2019;comisarias_2021;efectivos_pnp_2021;contribuyentes_2021;empresas_2021;hab_por_policia_2021;empresas_x1000hab_2021;residuos_kg_dia_2021;residuos_a_botadero_kg_2021;pobreza_2018_inf;pobreza_2018_sup;pobreza_2018_punto;pobreza_2018_rank;idh_2019;ingreso_pc_2019;esperanza_vida_2019;secundaria_completa_18_2019;anios_educ_2019;ubigeo_jne;electores_2026;mesas_2026;locales_2026;participacion_2v2026;electores_por_local_2026;pct_jp_2v2026;pct_electores_provincia;prk_pobreza_2018_punto;niv_pobreza_2018_punto;prk_pct_sin_agua_red_2017;niv_pct_sin_agua_red_2017;prk_pct_sin_desague_red_2017;niv_pct_sin_desague_red_2017;prk_pct_sin_luz_2017;niv_pct_sin_luz_2017;prk_dci_pct_2021;niv_dci_pct_2021;prk_anemia_6a35m_pct_2021;niv_anemia_6a35m_pct_2021;prk_medicos_x10k_2026;niv_medicos_x10k_2026;prk_pct_internet_hogar_2017;niv_pct_internet_hogar_2017;prk_locales_esc_buen_estado_pct_2018;niv_locales_esc_buen_estado_pct_2018;prk_ece4_lectura_previo_inicio_2019;niv_ece4_lectura_previo_inicio_2019;prk_pct_ejec_proyectos_2021;niv_pct_ejec_proyectos_2021;prk_participacion_2v2026;niv_participacion_2v2026;indice_brecha_gemses;demandas_prioritarias;peso_electoral;nivel_brecha_gemses;rank_poblacion_provincia;erm2022_electores;erm2022_participacion;erm2022_ganador;erm2022_pct_ganador;erm2022_n_listas;erm2022_pct_blancos_nulos;pct_app_2022;pct_ap_2022;pct_sp_2022;pct_frc_2022;pct_electores_votan_en_capital_2026;ccpp_georreferenciados;ccpp_total;ipress_detalle
060401;Chota;53056;24588;28468;24094;28962;54.6;60;10;103;104;44;69;5;19.4;261.75;2387.0;107.0;49863.01;26978.4;6.4;202.7;40.9;222756454.0;187606004.23;87680946.0;62542669.16;71.3;25138277;4199;13424.0;77.8;22.2;40.8;59.2;7.6;39.6;14665.0;12.7;65.8;24.47;18.98;641.0;3377.0;18.36;76.0;12.9;21.5;49.21;25.9;10.0;1.0;103.0;14257.0;3453.0;515;65.1;135000.0;133650.0;41.0;55.1;48.0;422;0.47;757;72.7;64.9;6.2;060601;42142;145;11;71.2;3831;79.5;31.9;13;BAJO;29;MEDIO;8;BAJO;13;BAJO;29;MEDIO;31;MEDIO;3;BAJO;3;BAJO;39;MEDIO;24;BAJO;55;ALTO;3;BAJO;21;Ejecución de proyectos (2021) (P55) | Locales escolares en buen estado (2018) (P39) | Anemia 6-35 meses (2021) (P31);ALTO;BAJO;1;;;;;;;;;;;;;;
060417;Tacabamba;15059;7388;7671;3537;11522;76.5;16;2;7;17;12;20;4;4.6;196.25;2075.0;71.0;17007.99;13902.12;-11.5;76.7;36.2;34317992.0;27998991.01;27851659.0;22306291.69;80.1;5545367;2279;4612.0;57.3;42.7;25.1;74.9;16.9;23.5;4761.0;1.5;90.5;30.47;26.95;346.0;1284.0;25.16;39.0;15.16;18.1;21.43;3.9;31.0;1.0;11.0;1154.0;312.0;1369;20.7;500.0;500.0;54.0;69.4;61.7;101;0.276;301;73.3;39.5;3.9;060615;13250;45;6;57.9;2208;83.8;10.0;45;MEDIO;76;CRÍTICO;24;BAJO;66;ALTO;92;CRÍTICO;36;MEDIO;18;BAJO;13;BAJO;61;ALTO;92;CRÍTICO;34;MEDIO;50;ALTO;51;ECE 4.º lectura 'previo al inicio' (2019) (P92) | Desnutrición crónica < 5 años (2021) (P92) | Viviendas sin agua por red (2017) (P76);ALTO;ALTO;2;12758;67.1;ALIANZA PARA EL PROGRESO;49.6;3;17.4;49.6;43.0;7.4;0.0;;;;
060410;Lajas;10888;5162;5726;2312;8576;78.8;15;1;11;26;14;13;3;10.1;120.73;2137.0;41.0;11746.0;9578.96;-7.3;90.2;34.0;15718799.0;14101036.48;9642041.0;8587430.31;89.1;1054611;1444;3544.0;64.0;36.0;19.9;80.1;7.9;18.8;3588.0;0.9;92.1;29.66;22.97;218.0;949.0;27.91;36.0;23.85;11.8;29.55;26.1;13.0;1.0;14.0;1095.0;192.0;778;17.6;1500.0;1500.0;63.1;79.0;71.0;23;0.331;403;71.8;54.3;4.3;060609;11315;39;5;63.6;2263;74.5;8.6;87;CRÍTICO;55;ALTO;39;MEDIO;21;BAJO;61;ALTO;58;ALTO;8;BAJO;29;MEDIO;76;CRÍTICO;45;MEDIO;13;BAJO;24;BAJO;43;Pobreza monetaria (2018) (P87) | Locales escolares en buen estado (2018) (P76) | Desnutrición crónica < 5 años (2021) (P61);MEDIO;MEDIO;3;10957;69.8;AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL;42.8;4;15.0;39.2;42.8;0.0;0.0;92.3;49;55;[{'cod': '00004682', 'nombre': 'LAJAS', 'categoria': 'I-4'}, {'cod': '00004683', 'nombre': 'CADMALCA', 'categoria': 'I-2'}, {'cod': '00004686', 'nombre': 'LLANGODEN', 'categoria': 'I-2'}, {'cod': '00004689', 'nombre': 'PAMPACANCHA', 'categoria': 'I-2'}, {'cod': '00004684', 'nombre': 'CHINLANLAN', 'categoria': 'I-1'}, {'cod': '00006925', 'nombre': 'CHURUCANCHA', 'categoria': 'I-1'}, {'cod': '00007086', 'nombre': 'CORAZON DE MARIA', 'categoria': 'I-1'}, {'cod': '00009326', 'nombre': 'EL ARENAL', 'categoria': 'I-1'}, {'cod': '00004685', 'nombre': 'LA SINRRA', 'categoria': 'I-1'}, {'cod': '00004687', 'nombre': 'MARCOPAMPA', 'categoria': 'I-1'}, {'cod': '00007117', 'nombre': 'OLMOS', 'categoria': 'I-1'}, {'cod': '00004688', 'nombre': 'PACOBAMBA', 'categoria': 'I-1'}, {'cod': '00010992', 'nombre': 'SAN CARLOS ALTO', 'categoria': 'I-1'}, {'cod': '00004690', 'nombre': 'TAURIPAMPA', 'categoria': 'I-1'}, {'cod': '00004691', 'nombre': 'YACUCHINGANA', 'categoria': 'I-1'}]
060419;Chalamarca;9628;4615;5013;0;9628;100.0;14;1;0;0;0;0;0;0.0;179.74;2319.0;47.0;9788.0;8777.42;-1.6;53.6;26.1;20656442.0;15303937.1;15751135.0;10734162.75;68.1;5016972;2145;2993.0;65.3;34.7;11.0;89.0;8.3;10.6;3004.0;0.2;95.8;31.98;25.5;215.0;843.0;17.12;19.0;15.88;30.2;35.19;3.7;14.0;1.0;9.0;776.0;182.0;1070;18.9;750.0;750.0;51.1;68.9;60.0;117;0.278;277;71.7;47.1;4.2;060619;8743;31;6;67.5;1457;90.2;6.6;39;MEDIO;50;ALTO;71;ALTO;29;MEDIO;76;CRÍTICO;25;MEDIO;61;ALTO;68;ALTO;24;BAJO;53;ALTO;66;ALTO;8;BAJO;48;Desnutrición crónica < 5 años (2021) (P76) | Viviendas sin desagüe por red (2017) (P71) | Hogares con internet (2017) (P68);MEDIO;MEDIO;4;8388;77.5;FRENTE REGIONAL DE CAJAMARCA;37.6;5;11.6;25.1;3.0;8.1;37.6;;;;
060415;Querocoto;7688;3885;3803;0;7688;100.0;11;1;0;0;0;0;0;0.0;301.07;2426.0;53.0;8849.0;7373.59;-13.1;25.5;17.6;25314484.0;16338271.25;19689440.0;10951284.43;55.6;8738156;3293;2300.0;68.5;31.5;26.9;73.1;7.9;25.4;2383.0;0.1;91.9;22.61;15.47;123.0;795.0;51.46;53.0;36.04;22.0;28.85;0.0;17.0;1.0;9.0;790.0;302.0;854;39.3;1115.0;1115.0;45.8;64.3;55.0;197;0.376;501;69.4;52.7;5.7;060614;8287;30;6;48.8;1381;74.4;6.3;18;BAJO;39;MEDIO;18;BAJO;21;BAJO;24;BAJO;81;CRÍTICO;61;ALTO;79;CRÍTICO;34;MEDIO;61;ALTO;76;CRÍTICO;76;CRÍTICO;49;Anemia 6-35 meses (2021) (P81) | Hogares con internet (2017) (P79) | Participación electoral 2.ª vuelta (2026) (P76);MEDIO;MEDIO;5;7133;67.0;FRENTE REGIONAL DE CAJAMARCA;48.9;4;9.5;17.8;0.0;1.1;48.9;;;;
060409;Huambos;7621;3637;3984;0;7621;100.0;9;1;0;0;0;0;0;0.0;240.72;2273.0;57.0;8713.0;7218.61;-12.5;31.7;23.7;18604578.0;14908936.08;14445348.0;11218642.72;77.7;3226705;2441;2468.0;62.4;37.6;19.7;80.3;24.9;19.0;2510.0;4.2;92.7;26.13;21.43;132.0;616.0;35.0;21.0;27.04;11.5;33.96;20.7;22.0;1.0;11.0;425.0;151.0;693;19.8;3000.0;3000.0;62.2;76.8;69.5;33;0.265;299;70.4;40.8;3.7;060608;6936;24;6;56.1;1156;64.4;5.3;76;CRÍTICO;66;ALTO;45;MEDIO;92;CRÍTICO;50;ALTO;69;ALTO;61;ALTO;8;BAJO;82;CRÍTICO;74;ALTO;45;MEDIO;55;ALTO;60;Viviendas sin electricidad (2017) (P92) | Locales escolares en buen estado (2018) (P82) | Pobreza monetaria (2018) (P76);MEDIO;ALTO;6;6789;73.0;ALIANZA PARA EL PROGRESO;61.7;3;9.7;61.7;30.1;0.0;8.2;;;;
060411;Llama;7166;3462;3704;3136;4030;56.2;9;2;0;0;0;0;0;0.0;494.94;2096.0;86.0;7481.0;4359.31;-4.2;14.5;17.4;25813957.0;19805162.0;20181564.0;14300756.52;70.9;5880807;3602;2264.0;58.9;41.1;18.9;81.1;19.9;17.1;2311.0;0.7;84.2;14.8;12.48;75.0;601.0;65.67;44.0;51.85;12.5;41.46;3.6;6.0;1.0;10.0;305.0;81.0;717;11.3;35.0;35.0;37.9;55.8;46.8;465;0.42;609;71.1;66.6;5.5;060610;5322;19;4;66.2;1330;63.1;4.0;8;BAJO;71;ALTO;50;ALTO;76;CRÍTICO;8;BAJO;86;CRÍTICO;61;ALTO;37;MEDIO;68;ALTO;8;BAJO;61;ALTO;13;BAJO;46;Anemia 6-35 meses (2021) (P86) | Viviendas sin electricidad (2017) (P76) | Viviendas sin agua por red (2017) (P71);MEDIO;MEDIO;7;5169;78.4;PARTIDO DEMOCRATICO SOMOS PERU;48.3;4;10.2;39.5;8.1;48.3;0.0;;;;
060408;Conchán;5560;2708;2852;0;5560;100.0;7;1;0;0;0;0;0;0.0;180.23;2315.0;40.0;6009.0;5489.94;-7.5;30.8;22.2;14435622.0;11534507.95;10581442.0;8232745.83;77.8;2348696;2596;1730.0;70.5;29.5;10.5;89.5;12.0;10.3;1762.0;0.6;97.0;27.17;22.27;106.0;476.0;27.08;13.0;23.08;34.4;37.93;8.3;12.0;1.0;8.0;346.0;88.0;695;15.8;5000.0;5000.0;62.3;78.2;70.2;27;0.232;196;72.0;45.0;3.7;060604;4954;18;5;64.2;991;84.5;3.8;82;CRÍTICO;34;MEDIO;76;CRÍTICO;45;MEDIO;55;ALTO;47;MEDIO;61;ALTO;45;MEDIO;13;BAJO;37;MEDIO;39;MEDIO;18;BAJO;46;Pobreza monetaria (2018) (P82) | Viviendas sin desagüe por red (2017) (P76) | Médicos por 10 000 hab. (2026) (P61);BAJO;MEDIO;8;4708;74.0;ALIANZA PARA EL PROGRESO;30.2;4;11.3;30.2;28.2;12.8;28.7;;;;
060407;Cochabamba;5525;2634;2891;0;5525;100.0;8;1;0;0;0;0;0;0.0;130.01;1694.0;35.0;5960.0;4480.08;-7.3;42.5;26.9;16379450.0;13718979.9;12927186.0;10769541.15;83.3;2157645;2965;1735.0;44.0;56.0;21.8;78.2;24.1;20.9;1744.0;1.1;90.0;23.33;19.07;70.0;367.0;25.93;7.0;25.58;2.1;42.11;0.0;11.0;1.0;14.0;509.0;96.0;395;17.4;350.0;350.0;55.9;72.1;64.0;79;0.301;327;72.0;54.5;4.1;060603;4858;17;2;59.7;2429;63.7;3.7;50;ALTO;87;CRÍTICO;34;MEDIO;87;CRÍTICO;34;MEDIO;42;MEDIO;61;ALTO;24;BAJO;97;CRÍTICO;29;MEDIO;29;MEDIO;39;MEDIO;51;Locales escolares en buen estado (2018) (P97) | Viviendas sin electricidad (2017) (P87) | Viviendas sin agua por red (2017) (P87);BAJO;ALTO;9;4743;70.4;AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL;49.0;4;13.6;7.5;49.0;15.3;28.3;;;;
060413;Paccha;4271;2045;2226;0;4271;100.0;8;1;0;0;0;0;0;0.0;93.97;2120.0;21.0;4702.0;3482.93;-9.2;45.5;22.3;35645641.0;18788330.91;32714741.0;15954506.96;48.8;16760234;8346;1339.0;81.2;18.8;23.2;76.8;14.8;22.7;1375.0;1.2;91.2;25.23;21.3;108.0;507.0;16.67;7.0;13.58;18.2;40.62;16.7;12.0;1.0;9.0;400.0;107.0;475;25.1;500.0;;47.6;64.8;56.2;172;0.297;310;73.0;44.9;4.5;060612;4413;16;4;60.5;1103;84.4;3.3;24;BAJO;18;BAJO;29;MEDIO;55;ALTO;45;MEDIO;19;BAJO;61;ALTO;18;BAJO;53;ALTO;37;MEDIO;87;CRÍTICO;34;MEDIO;40;Ejecución de proyectos (2021) (P87) | Médicos por 10 000 hab. (2026) (P61) | Viviendas sin electricidad (2017) (P55);BAJO;MEDIO;10;4013;74.3;ALIANZA PARA EL PROGRESO;50.4;2;14.5;50.4;49.6;0.0;0.0;;;;
