bloque;indicador;anio;valor;unidad;fuente;url;nota
A. Territorio y población;Población censada;2025;10888;hab;"INEI, Censos Nacionales 2025 (tabulados oficiales; base P8 censo2025.db)";https://censos2025.inei.gob.pe/resultados/descarga-de-datos/cuadros-estadisticos/tabulados/tabulados-poblacion;"5726 mujeres (52.6 %); 3.º distrito más poblado de 19 en Chota"
A. Territorio y población;Población rural;2025;8576;hab;"INEI, Censos Nacionales 2025 (tabulados oficiales; base P8 censo2025.db)";https://censos2025.inei.gob.pe/resultados/descarga-de-datos/cuadros-estadisticos/tabulados/tabulados-poblacion;"78.8 % rural; urbana 2312"
A. Territorio y población;Población censada 2017 (Censo 2017 vía CEPLAN);2017;11746;hab;CEPLAN-PCM, Información de brechas territoriales (Excel dep/prov/dist) (INEI);https://www.ceplan.gob.pe/download/218452/;variación 2017→2025: -7.3 %
A. Territorio y población;Superficie;2017;120.73;km²;CEPLAN-PCM, Información de brechas territoriales (Excel dep/prov/dist) (INEI);https://www.ceplan.gob.pe/download/218452/;"densidad 90.2 hab/km² (censo 2025); altitud capital 2137 msnm"
A. Territorio y población;Centros poblados;2017;55;ccpp;INEI, Directorio Nacional de Centros Poblados 2017 (tomo Cajamarca) + capa CCPP IGN 100K (datos abiertos);https://www.datosabiertos.gob.pe/dataset/dataset-centros-poblados;"49 con coordenadas (IGN); CEPLAN registra 41"
B. Pobreza y desarrollo;Pobreza monetaria (intervalo de confianza 95 %);2018;63.1 – 79.0;%;"INEI, Mapa de Pobreza Monetaria Provincial y Distrital 2018 (Anexo 2 p.113; ranking Anexo 1 p.55)";https://www.inei.gob.pe/media/MenuRecursivo/publicaciones_digitales/Est/Lib1718/Libro.pdf;"punto medio 71.0 %; provincia Chota 55,1–61,1 %"
B. Pobreza y desarrollo;Ubicación nacional por pobreza (1 = más pobre de 1 874 distritos);2018;23;puesto;"INEI, Mapa de Pobreza Monetaria Provincial y Distrital 2018 (Anexo 2 p.113; ranking Anexo 1 p.55)";https://www.inei.gob.pe/media/MenuRecursivo/publicaciones_digitales/Est/Lib1718/Libro.pdf;Lajas está entre los 25 distritos más pobres del Perú (Anexo 1)
B. Pobreza y desarrollo;Pobreza monetaria departamental;2025;41.0;%;INEI, informe técnico de pobreza monetaria 2025 (nota gob.pe);https://www.gob.pe/institucion/inei/noticias/1387366-inei-pobreza-monetaria-alcanzo-al-25-7-de-la-poblacion-en-el-peru-durante-el-ano-2025;"Cajamarca sigue como la región más pobre; 2024: 45,0 %"
B. Pobreza y desarrollo;Índice de Desarrollo Humano;2019;0.331;;PNUD/IPE, IDH distrital 2019 (hoja 'IDH 2019');https://ipe.org.pe/wp-content/uploads/2021/11/IDH-y-Componentes-2003-2019.xlsx;"ingreso familiar per cápita S/ 403/mes; Chota prov. 0,361; Cajamarca 0,425"
B. Pobreza y desarrollo;Población de 18 años con secundaria completa;2019;54.3;%;PNUD/IPE, IDH distrital 2019 (hoja 'IDH 2019');https://ipe.org.pe/wp-content/uploads/2021/11/IDH-y-Componentes-2003-2019.xlsx;años de educación (25+): 4.3
C. Servicios básicos;Viviendas sin agua por red pública;2017;36.0;%;INEI Censo 2017 vía CEPLAN-PCM, Información de brechas territoriales (Excel dep/prov/dist);https://www.ceplan.gob.pe/download/218452/;"3544 viviendas censadas; con red 64.0 %"
C. Servicios básicos;Viviendas sin desagüe por red pública;2017;80.1;%;INEI Censo 2017 vía CEPLAN-PCM, Información de brechas territoriales (Excel dep/prov/dist);https://www.ceplan.gob.pe/download/218452/;con red 19.9 %
C. Servicios básicos;Viviendas sin electricidad;2017;7.9;%;INEI Censo 2017 vía CEPLAN-PCM, Información de brechas territoriales (Excel dep/prov/dist);https://www.ceplan.gob.pe/download/218452/;
C. Servicios básicos;Viviendas con los 3 servicios (agua, desagüe, luz);2017;18.8;%;INEI Censo 2017 vía CEPLAN-PCM, Información de brechas territoriales (Excel dep/prov/dist);https://www.ceplan.gob.pe/download/218452/;
C. Servicios básicos;Hogares con internet;2017;0.9;%;INEI Censo 2017 vía CEPLAN-PCM, Información de brechas territoriales (Excel dep/prov/dist);https://www.ceplan.gob.pe/download/218452/;3588 hogares
C. Servicios básicos;Hogares que cocinan con leña;2017;92.1;%;INEI Censo 2017 vía CEPLAN-PCM, Información de brechas territoriales (Excel dep/prov/dist);https://www.ceplan.gob.pe/download/218452/;
C. Servicios básicos;Viviendas sin agua por red pública – PROVINCIA Chota;2025;13.9;%;INEI, Censos Nacionales 2025, tabulados de vivienda – servicios básicos (cuadros 1, 9 y 10);https://censos2025.inei.gob.pe/resultados/descarga-de-datos/cuadros-estadisticos/tabulados/tabulados-vivienda;"manantial/río 11.6 %; Cajamarca 18.9 %; Perú 20.7 %"
C. Servicios básicos;Viviendas sin desagüe por red pública – PROVINCIA Chota;2025;68.1;%;INEI, Censos Nacionales 2025, tabulados de vivienda – servicios básicos (cuadros 1, 9 y 10);https://censos2025.inei.gob.pe/resultados/descarga-de-datos/cuadros-estadisticos/tabulados/tabulados-vivienda;"pozo ciego 18.5 %; sin conexión 13.8 %; Cajamarca 55.6 %; Perú 31.3 %"
C. Servicios básicos;Viviendas sin electricidad – PROVINCIA Chota;2025;5.0;%;INEI, Censos Nacionales 2025, tabulados de vivienda – servicios básicos (cuadros 1, 9 y 10);https://censos2025.inei.gob.pe/resultados/descarga-de-datos/cuadros-estadisticos/tabulados/tabulados-vivienda;"Cajamarca 5.8 %; Perú 3.7 %"
D. Salud;Desnutrición crónica < 5 años (SIEN);2021;22.97;%;INS-SIEN vía CEPLAN-PCM, Información de brechas territoriales (Excel dep/prov/dist);https://www.ceplan.gob.pe/download/218452/;"218 casos de 949 evaluados; 2019: 29.66 %; Chota prov. 21,1 %; Perú 15,1 %"
D. Salud;Anemia 6-35 meses (SIEN);2021;27.91;%;INS-SIEN vía CEPLAN-PCM, Información de brechas territoriales (Excel dep/prov/dist);https://www.ceplan.gob.pe/download/218452/;"36 casos (cobertura baja); Chota prov. 28,8 %"
D. Salud;Anemia 6-35 meses – dpto. Cajamarca (ENDES);2024;38.4;%;INEI, ENDES 2024 informe departamental Cajamarca (cap. 9) y tablas PPR;https://proyectos.inei.gob.pe/endes/2024/departamentales/Endes06/pdf/Cap09.pdf;"subió desde 25,8 % en 2023; Perú ≈ 43,7 %"
D. Salud;Desnutrición crónica < 5 – dpto. Cajamarca (ENDES);2024;20.4;%;INEI, ENDES 2024 informe departamental Cajamarca (cap. 9) y tablas PPR;https://proyectos.inei.gob.pe/endes/2024/ppr2/indicadores_de_resultados_de_los_programas_presupuestales_endes_2024.pdf;Perú 12,1 %
D. Salud;Establecimientos de salud (IPRESS);2026;15;estab.;"SUSALUD, RENIPRESS + Recursos de salud por IPRESS (mayo 2026; base P8)";https://renipress.susalud.gob.pe;"1 centro de salud I-4 (Lajas) + 3 puestos I-2 + 11 puestos I-1; todos del Gobierno Regional"
D. Salud;Médicos por 10 000 habitantes;2026;10.1;;"SUSALUD, RENIPRESS + Recursos de salud por IPRESS (mayo 2026; base P8)";https://renipress.susalud.gob.pe;"11 médicos, 26 enfermeras, 14 obstetras; camas 13; ambulancias 3"
E. Educación;Locales escolares públicos en buen estado;2018;11.8;%;MINEDU-ESCALE vía CEPLAN-PCM, Información de brechas territoriales (Excel dep/prov/dist);https://www.ceplan.gob.pe/download/218452/;"Chota prov. 18,9 %; Perú 16,3 %"
